pair,pool_a,pool_b,ips_a,ips_b,est_pool_a,est_pool_b,ip_overlap_count,ip_overlap_pct_of_smaller,adjusted_ip_overlap_count,adjusted_ip_overlap_pct_of_smaller,subnets_a,subnets_b,subnet_overlap_count,subnet_overlap_pct_of_smaller,adjusted_subnet_overlap_count,adjusted_subnet_overlap_pct_of_smaller,chao_sorensen_pct,median_connect_ms_diff
lightningproxies vs novada,lightningproxies,novada,111447,182358,116239,207473,23522,21.1,27912,24.0,89863,129526,40337,44.9,47866,51.1,18.7,-7.2
lightningproxies vs proxidize,lightningproxies,proxidize,111447,162375,116239,175796,32973,29.6,37233,32.0,89863,78124,38225,48.9,43164,51.0,23.6,-28.2
711proxy vs novproxy,711proxy,novproxy,258807,55431,301217,59998,6431,11.6,8101,13.5,164636,40511,17708,43.7,22308,50.9,6.6,-27.3
ipnproxy vs thordata,ipnproxy,thordata,112362,113891,127022,122700,19248,17.1,23442,19.1,50788,88210,23910,47.1,29120,50.7,20.4,-50.6
nodemaven vs redscrape,nodemaven,redscrape,137971,18924,154448,19727,3823,20.2,4461,22.6,107770,16717,7552,45.2,8812,50.6,3.6,-42.2
novada vs proxy-seller,novada,proxy-seller,182358,174107,207473,185889,38605,22.2,46894,25.2,129526,125667,55904,44.5,67908,50.6,24.5,41.9
proxy-seller vs redscrape,proxy-seller,redscrape,174107,18924,185889,19727,3861,20.4,4297,21.8,125667,16717,7885,47.2,8776,50.4,5.0,-73.8
dataimpulse vs webshare,dataimpulse,webshare,98591,79044,104047,91368,18971,24.0,23142,25.3,51069,63025,22136,43.3,27003,50.1,25.0,2.8
nodemaven vs webshare,nodemaven,webshare,137971,79044,154448,91368,17683,22.4,22881,25.0,107770,63025,28223,44.8,36519,50.1,14.6,-24.7
proxy-seller vs thordata,proxy-seller,thordata,174107,113891,185889,122700,26941,23.7,30989,25.3,125667,88210,41153,46.7,47337,49.8,21.9,-44.7
novada vs shifter,novada,shifter,182358,180875,207473,192845,35608,19.7,43193,22.4,129526,128511,55302,43.0,67082,49.0,21.5,-30.3
ghostealth vs webshare,ghostealth,webshare,90213,79044,105316,91368,14373,18.2,19395,21.2,41718,63025,17636,42.3,23799,48.9,20.8,-81.1
shifter vs thordata,shifter,thordata,180875,113891,192845,122700,23830,20.9,27372,22.3,128511,88210,40207,45.6,46184,48.6,17.9,26.7
lightningproxies vs proxyon,lightningproxies,proxyon,111447,33419,116239,37397,8647,25.9,10092,27.0,89863,28536,13273,46.5,15492,48.5,13.0,-41.6
marsproxies vs proxidize,marsproxies,proxidize,75914,162375,79738,175796,22157,29.2,25197,31.6,49110,78124,21942,44.7,24952,48.4,18.2,-74.8
ipnproxy vs webshare,ipnproxy,webshare,112362,79044,127022,91368,17859,22.6,23337,25.5,50788,63025,21117,41.6,27594,48.1,22.2,-65.7
marsproxies vs shifter,marsproxies,shifter,75914,180875,79738,192845,7986,10.5,8943,11.2,49110,128511,21943,44.7,24574,47.6,6.9,-75.8
novada vs novproxy,novada,novproxy,182358,55431,207473,59998,8535,15.4,10510,17.5,129526,40511,16878,41.7,20784,47.4,9.5,-27.7
nodemaven vs novada,nodemaven,novada,137971,182358,154448,207473,23944,17.4,30495,19.7,107770,129526,44735,41.5,56974,47.2,15.6,-10.0
marsproxies vs proxy-seller,marsproxies,proxy-seller,75914,174107,79738,185889,7961,10.5,8928,11.2,49110,125667,21640,44.1,24268,47.0,7.3,-3.9
ghostealth vs redscrape,ghostealth,redscrape,90213,18924,105316,19727,5111,27.0,6220,31.5,41718,16717,6699,40.1,8152,46.8,10.0,-91.5
iproyal vs shifter,iproyal,shifter,91493,180875,96214,192845,7941,8.7,8903,9.3,52889,128511,22889,43.3,25663,46.1,6.4,2.8
iproyal vs proxy-seller,iproyal,proxy-seller,91493,174107,96214,185889,7929,8.7,8902,9.3,52889,125667,22573,42.7,25344,45.6,6.8,74.2
proxyon vs rayobyte,proxyon,rayobyte,33419,49671,37397,55307,10608,31.7,13218,35.3,28536,35346,11492,40.3,14319,44.8,20.2,24.3
iproyal vs proxidize,iproyal,proxidize,91493,162375,96214,175796,28140,30.8,32038,33.3,52889,78124,21821,41.3,24844,44.7,21.5,3.5
marsproxies vs nodemaven,marsproxies,nodemaven,75914,137971,79738,154448,7670,10.1,9019,11.3,49110,107770,19530,39.8,22964,44.5,8.2,-35.9
nodemaven vs thordata,nodemaven,thordata,137971,113891,154448,122700,19853,17.4,23943,19.5,107770,88210,34611,39.2,41741,43.9,14.5,-13.7
iproyal vs nodemaven,iproyal,nodemaven,91493,137971,96214,154448,8276,9.0,9742,10.1,52889,107770,20604,39.0,24255,43.6,8.2,42.2
lightningproxies vs webshare,lightningproxies,webshare,111447,79044,116239,91368,17097,21.6,20612,22.6,89863,63025,25731,40.8,31022,42.6,20.5,-16.4
lightningproxies vs redscrape,lightningproxies,redscrape,111447,18924,116239,19727,3842,20.3,4177,21.2,89863,16717,6725,40.2,7312,42.0,6.8,-41.4
marsproxies vs thordata,marsproxies,thordata,75914,113891,79738,122700,11472,15.1,12982,16.3,49110,88210,19031,38.8,21536,41.7,13.5,-48.8
lightningproxies vs rayobyte,lightningproxies,rayobyte,111447,49671,116239,55307,7128,14.4,8278,15.0,89863,35346,14062,39.8,16331,41.5,8.4,-8.7
proxyon vs redscrape,proxyon,redscrape,33419,18924,37397,19727,4985,26.3,5815,29.5,28536,16717,6104,36.5,7120,40.9,20.4,2.5
decodo vs proxybase,decodo,proxybase,249471,32296,273404,35130,1593,4.9,1899,5.4,164845,28296,10450,36.9,12457,40.5,1.5,173.1
iproyal vs redscrape,iproyal,redscrape,91493,18924,96214,19727,4536,24.0,4972,25.2,52889,16717,6423,38.4,7041,40.4,8.6,0.4
iproyal vs thordata,iproyal,thordata,91493,113891,96214,122700,11303,12.4,12806,13.3,52889,88210,19597,37.1,22202,39.9,12.3,28.9
ipnproxy vs iproyal,ipnproxy,iproyal,112362,91493,127022,96214,24285,26.5,28870,30.0,50788,52889,18006,35.5,21406,38.5,26.0,-80.8
marsproxies vs redscrape,marsproxies,redscrape,75914,18924,79738,19727,4281,22.6,4687,23.8,49110,16717,6115,36.6,6695,38.4,9.6,-77.7
ghostealth vs iproyal,ghostealth,iproyal,90213,91493,105316,96214,19516,21.6,23959,24.9,41718,52889,15057,36.1,18485,38.0,23.8,-92.1
novproxy vs shifter,novproxy,shifter,55431,180875,59998,192845,3266,5.9,3769,6.3,40511,128511,14348,35.4,16558,37.8,3.0,-1.7
lightningproxies vs thordata,lightningproxies,thordata,111447,113891,116239,122700,19276,17.3,21660,18.6,89863,88210,31399,35.6,35282,37.6,19.2,-14.9
ipnproxy vs marsproxies,ipnproxy,marsproxies,112362,75914,127022,79738,17011,22.4,20199,25.3,50788,49110,16291,33.2,19344,37.5,19.6,-2.3
novproxy vs thordata,novproxy,thordata,55431,113891,59998,122700,7913,14.3,9227,15.4,40511,88210,14052,34.7,16386,37.4,11.2,24.8
marsproxies vs webshare,marsproxies,webshare,75914,79044,79738,91368,9509,12.5,11545,14.5,49110,63025,15577,31.7,18913,36.7,13.8,-64.2
novproxy vs proxy-seller,novproxy,proxy-seller,55431,174107,59998,185889,3172,5.7,3666,6.1,40511,125667,13932,34.4,16100,36.7,3.1,69.5
iproyal vs proxyon,iproyal,proxyon,91493,33419,96214,37397,6549,19.6,7707,20.6,52889,28536,9841,34.5,11581,36.3,11.5,-1.9
dataimpulse vs iproyal,dataimpulse,iproyal,98591,91493,104047,96214,22408,24.5,24868,25.8,51069,52889,17400,34.1,19310,35.8,24.8,-6.1
marsproxies vs proxyon,marsproxies,proxyon,75914,33419,79738,37397,6733,20.1,7914,21.2,49110,28536,9735,34.1,11443,35.8,13.4,-80.2
dataimpulse vs marsproxies,dataimpulse,marsproxies,98591,75914,104047,79738,16038,21.1,17778,22.3,51069,49110,16296,33.2,18064,35.0,19.3,72.5
novproxy vs proxidize,novproxy,proxidize,55431,162375,59998,175796,7572,13.7,8873,14.8,40511,78124,13084,32.3,15332,35.0,6.5,-1.0
iproyal vs webshare,iproyal,webshare,91493,79044,96214,91368,9374,11.9,11395,12.5,52889,63025,15972,30.2,19415,34.9,12.4,12.0
lightningproxies vs marsproxies,lightningproxies,marsproxies,111447,75914,116239,79738,5868,7.7,6429,8.1,89863,49110,16422,33.4,17991,34.9,6.9,39.2
nodemaven vs novproxy,nodemaven,novproxy,137971,55431,154448,59998,3042,5.5,3686,6.1,107770,40511,12580,31.1,15243,34.8,2.6,-38.5
